Country Lookup Key	Country Name	Country Code	 GDP in USD 2010 	 GDP in USD 2011 	 GDP in USD 2012 	 GDP in USD 2013 	 GDP in USD 2014 	 GDP in USD 2015 	 GDP in USD 2016 
ARUBA	Aruba	ABW	" 2,390,502,793 "	" 2,549,720,670 "	" 2,534,636,872 "	" 2,701,675,978 "	" 2,765,363,128 "	" 2,919,553,073 "	" 2,965,921,788 "
AFGHANISTAN	Afghanistan	AFG	" 15,856,574,731 "	" 17,804,292,964 "	" 20,001,598,506 "	" 20,561,069,558 "	" 20,484,885,120 "	" 19,907,111,419 "	" 18,017,749,074 "
ANGOLA	Angola	AGO	" 83,799,496,611 "	" 111,789,686,464 "	" 128,052,853,643 "	" 136,709,862,831 "	" 145,712,200,313 "	" 116,193,649,124 "	" 101,123,851,090 "
ALBANIA	Albania	ALB	" 11,926,928,506 "	" 12,890,765,324 "	" 12,319,830,252 "	" 12,776,217,195 "	" 13,228,144,008 "	" 11,386,846,319 "	" 11,861,200,797 "
ANDORRA	Andorra	AND	" 3,449,966,857 "	" 3,629,203,786 "	" 3,188,808,943 "	" 3,193,704,343 "	" 3,271,808,157 "	" 2,789,870,188 "	" 2,896,679,212 "
ARAB WORLD	Arab World	ARB	" 2,103,331,412,248 "	" 2,494,028,778,449 "	" 2,773,499,064,015 "	" 2,856,372,458,851 "	" 2,894,391,168,410 "	" 2,534,723,688,142 "	" 2,469,440,154,484 "
UNITED ARAB EMIRATES	United Arab Emirates	ARE	" 289,787,338,325 "	" 350,666,031,314 "	" 374,590,605,854 "	" 390,107,556,161 "	" 403,137,100,068 "	" 358,135,057,862 "	" 357,045,064,670 "
ARGENTINA	Argentina	ARG	" 423,627,422,092 "	" 530,163,281,575 "	" 545,982,375,701 "	" 552,025,140,252 "	" 526,319,673,732 "	" 594,749,285,413 "	" 557,531,376,218 "
ARMENIA	Armenia	ARM	" 9,260,284,938 "	" 10,142,111,334 "	" 10,619,320,049 "	" 11,121,465,767 "	" 11,609,512,940 "	" 10,553,337,673 "	" 10,546,135,160 "
AMERICAN SAMOA	American Samoa	ASM	" 576,000,000 "	" 574,000,000 "	" 644,000,000 "	" 641,000,000 "	" 642,000,000 "	" 661,000,000 "	" 652,000,000 "
ANTIGUA AND BARBUDA	Antigua and Barbuda	ATG	" 1,148,700,000 "	" 1,137,637,037 "	" 1,199,948,148 "	" 1,181,448,148 "	" 1,249,733,333 "	" 1,336,692,593 "	" 1,436,585,185 "
AUSTRALIA	Australia	AUS	" 1,146,138,465,604 "	" 1,396,649,906,339 "	" 1,546,151,783,873 "	" 1,576,184,467,015 "	" 1,467,483,705,132 "	" 1,351,693,984,525 "	" 1,208,846,993,740 "
AUSTRIA	Austria	AUT	" 391,892,746,545 "	" 431,120,310,089 "	" 409,425,234,155 "	" 430,068,712,972 "	" 441,996,131,737 "	" 381,817,565,894 "	" 395,568,644,341 "
AZERBAIJAN	Azerbaijan	AZE	" 52,902,703,376 "	" 65,951,627,200 "	" 69,683,935,845 "	" 74,164,435,946 "	" 75,244,294,275 "	" 53,074,370,486 "	" 37,867,518,957 "
BURUNDI	Burundi	BDI	" 2,032,135,247 "	" 2,235,820,868 "	" 2,333,308,099 "	" 2,451,625,333 "	" 2,705,783,272 "	" 3,104,394,858 "	" 2,959,640,987 "
BELGIUM	Belgium	BEL	" 480,951,629,493 "	" 522,645,519,184 "	" 496,181,260,258 "	" 521,642,714,408 "	" 534,678,075,827 "	" 462,149,679,344 "	" 475,739,588,765 "
BENIN	Benin	BEN	" 9,535,344,283 "	" 10,693,321,954 "	" 11,141,358,945 "	" 12,517,845,732 "	" 13,284,528,654 "	" 11,388,160,958 "	" 11,821,066,153 "
BURKINA FASO	Burkina Faso	BFA	" 10,109,618,964 "	" 12,080,296,644 "	" 12,561,016,091 "	" 13,444,301,139 "	" 13,943,016,924 "	" 11,832,159,276 "	" 12,833,363,370 "
BANGLADESH	Bangladesh	BGD	" 115,279,077,465 "	" 128,637,938,711 "	" 133,355,749,482 "	" 149,990,451,022 "	" 172,885,454,931 "	" 195,078,678,697 "	" 221,415,188,000 "
BULGARIA	Bulgaria	BGR	" 50,381,825,504 "	" 57,386,216,850 "	" 54,033,250,329 "	" 55,615,397,666 "	" 56,901,994,980 "	" 50,647,442,757 "	" 53,806,894,796 "
BAHRAIN	Bahrain	BHR	" 25,713,271,277 "	" 28,776,595,745 "	" 30,749,308,511 "	" 32,539,468,085 "	" 33,387,712,766 "	" 31,050,638,298 "	" 32,234,973,404 "
"BAHAMAS, THE"	"Bahamas, The"	BHS	" 10,095,760,000 "	" 10,070,450,000 "	" 10,720,500,000 "	" 10,568,400,000 "	" 11,111,600,000 "	" 11,710,800,000 "	" 11,928,500,000 "
BOSNIA AND HERZEGOVINA	Bosnia and Herzegovina	BIH	" 17,176,781,337 "	" 18,644,723,861 "	" 17,226,849,297 "	" 18,178,503,835 "	" 18,558,343,508 "	" 16,211,541,820 "	" 16,913,330,694 "
BELARUS	Belarus	BLR	" 57,222,490,769 "	" 61,757,788,945 "	" 65,685,102,555 "	" 75,527,984,234 "	" 78,813,839,984 "	" 56,454,734,397 "	" 47,722,657,821 "
BELIZE	Belize	BLZ	" 1,377,200,000 "	" 1,460,800,000 "	" 1,522,900,000 "	" 1,579,400,000 "	" 1,662,800,000 "	" 1,723,800,000 "	" 1,775,100,000 "
BERMUDA	Bermuda	BMU	" 6,634,526,000 "	" 6,312,691,000 "	" 6,378,188,000 "	" 6,465,756,000 "	" 6,413,988,000 "	" 6,654,541,000 "	" 6,899,911,000 "
BOLIVIA	Bolivia	BOL	" 19,649,631,314 "	" 23,963,033,431 "	" 27,084,497,483 "	" 30,659,338,880 "	" 32,996,188,013 "	" 33,000,198,248 "	" 33,941,126,200 "
BRAZIL	Brazil	BRA	" 2,208,871,646,203 "	" 2,616,200,980,392 "	" 2,465,188,674,415 "	" 2,472,806,919,902 "	" 2,455,993,625,159 "	" 1,802,214,373,741 "	" 1,795,700,168,991 "
BARBADOS	Barbados	BRB	" 4,530,000,000 "	" 4,657,500,000 "	" 4,610,000,000 "	" 4,677,000,000 "	" 4,696,500,000 "	" 4,715,000,000 "	" 4,830,000,000 "
BRUNEI DARUSSALAM	Brunei Darussalam	BRN	" 13,707,370,737 "	" 18,525,319,978 "	" 19,047,940,301 "	" 18,093,829,923 "	" 17,098,342,541 "	" 12,930,394,938 "	" 11,400,854,268 "
BHUTAN	Bhutan	BTN	" 1,547,991,318 "	" 1,777,101,317 "	" 1,781,281,282 "	" 1,756,215,665 "	" 1,907,090,813 "	" 2,003,598,213 "	" 2,158,972,129 "
BOTSWANA	Botswana	BWA	" 12,786,654,498 "	" 15,351,972,361 "	" 14,380,004,175 "	" 14,901,750,991 "	" 16,250,781,587 "	" 14,420,593,484 "	" 15,646,354,089 "
CENTRAL AFRICAN REPUBLIC	Central African Republic	CAF	" 2,142,591,376 "	" 2,437,982,840 "	" 2,510,126,699 "	" 1,691,544,192 "	" 1,894,813,505 "	" 1,695,825,708 "	" 1,825,018,191 "
CANADA	Canada	CAN	" 1,613,464,422,811 "	" 1,788,647,906,048 "	" 1,828,689,329,349 "	" 1,847,208,522,155 "	" 1,803,533,209,845 "	" 1,556,129,524,418 "	" 1,528,243,213,982 "
CENTRAL EUROPE AND THE BALTICS	Central Europe and the Baltics	CEB	" 1,316,611,736,576 "	" 1,449,107,473,075 "	" 1,352,688,633,437 "	" 1,422,193,604,145 "	" 1,464,899,669,967 "	" 1,292,086,768,711 "	" 1,320,631,381,339 "
SWITZERLAND	Switzerland	CHE	" 583,782,978,346 "	" 699,579,638,413 "	" 668,043,613,696 "	" 688,504,173,431 "	" 709,182,559,935 "	" 679,832,292,005 "	" 671,309,197,478 "
CHANNEL ISLANDS	Channel Islands	CHI							
CHILE	Chile	CHL	" 218,537,551,220 "	" 252,251,992,029 "	" 267,122,320,057 "	" 278,384,345,259 "	" 260,541,629,961 "	" 243,919,085,309 "	" 250,440,136,356 "
CHINA	China	CHN	" 6,087,163,874,512 "	" 7,551,500,124,203 "	" 8,532,229,986,994 "	" 9,570,406,235,660 "	" 10,475,682,920,595 "	" 11,061,553,079,876 "	" 11,233,276,536,737 "
COTE D'IVOIRE	Cote d'Ivoire	CIV	" 24,908,781,285 "	" 25,414,875,503 "	" 26,789,047,555 "	" 31,273,074,528 "	" 35,363,533,866 "	" 45,814,637,971 "	" 47,964,234,560 "
CAMEROON	Cameroon	CMR	" 26,169,323,293 "	" 29,375,448,542 "	" 29,102,772,799 "	" 32,357,345,501 "	" 34,989,493,826 "	" 30,928,653,814 "	" 32,643,697,596 "
"CONGO, DEM. REP."	"Congo, Dem. Rep."	COD	" 21,565,720,044 "	" 25,839,749,199 "	" 29,306,235,826 "	" 32,679,745,298 "	" 35,909,040,266 "	" 37,917,704,900 "	" 37,134,799,975 "
"CONGO, REP."	"Congo, Rep."	COG	" 13,148,395,202 "	" 15,655,384,440 "	" 17,692,912,613 "	" 17,958,721,572 "	" 17,783,526,318 "	" 11,953,249,530 "	" 10,335,424,288 "
COLOMBIA	Colombia	COL	" 286,563,105,192 "	" 334,943,871,932 "	" 370,921,320,484 "	" 382,116,126,449 "	" 381,112,119,657 "	" 293,481,748,241 "	" 282,825,009,887 "
COMOROS	Comoros	COM	" 907,978,724 "	" 1,023,086,184 "	" 1,015,843,369 "	" 1,116,224,161 "	" 1,149,587,652 "	" 966,029,542 "	" 1,012,835,518 "
CABO VERDE	Cabo Verde	CPV	" 1,664,310,770 "	" 1,865,915,544 "	" 1,741,809,809 "	" 1,850,470,042 "	" 1,859,898,513 "	" 1,596,800,287 "	" 1,662,998,678 "
